Name,Year,Rating,Review Length,Rating Count
How to Train Your Dragon,2010,8.1,725,759787
Dead Poets Society,1989,8.1,774,508543
"Monsters, Inc.",2001,8.1,776,930348
The Seventh Seal,1957,8.1,401,189602
Jaws,1975,8.1,1442,622513
Room,2015,8.1,808,431063
The Big Lebowski,1998,8.1,1419,825968
Tokyo Story,1953,8.1,203,63977
Ford v Ferrari,2019,8.1,1637,416565
The Passion of Joan of Arc,1928,8.1,239,57170
Hotel Rwanda,2004,8.0,712,361528
Rocky,1976,8.0,819,597213
Ratatouille,2007,8.0,875,764204
Platoon,1986,8.0,669,422773
Logan,2017,8.0,1759,785749
Spotlight,2015,8.0,702,481456
The Terminator,1984,8.0,1062,883976
Stand by Me,1986,8.0,796,416565
Rush,2013,8.0,654,490343
Network,1976,8.0,438,163254
Before Sunset,2004,8.0,604,273315
The Wizard of Oz,1939,8.0,806,409764
Into the Wild,2007,8.0,1103,634339
The Best Years of Our Lives,1946,8.0,350,66976
The Exorcist,1973,8.0,1432,420387
Groundhog Day,1993,8.0,925,649474
The Incredibles,2004,8.0,1037,759677
La haine,1995,8.0,261,180990
To Be or Not to Be,1942,8.0,166,39551
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,2358,1151680
Hachi: A Dog's Tale,2009,8.0,636,294298
The Grapes of Wrath,1940,8.0,435,95992
The Battle of Algiers,1966,8.0,318,62313
Pather Panchali,1955,8.0,190,34907
Jai Bhim,2021,8.0,3423,206467
Amores Perros,2000,8.0,419,245104
My Father and My Son,2005,8.0,141,88101
Rebecca,1940,8.0,401,140611
The Handmaiden,2016,8.0,340,156478
Cool Hand Luke,1967,8.0,389,181399
The Sound of Music,1965,8.0,540,244144
It Happened One Night,1934,8.0,361,107088
The 400 Blows,1959,8.0,251,121902
Persona,1966,8.0,281,123384
Life of Brian,1979,8.0,455,408328
The Iron Giant,1999,8.0,630,208378
The Help,2011,8.0,664,471646
Aladdin,1992,8.0,394,435486
Dances with Wolves,1990,8.0,581,275916
