0,1,2,3,4,5
0.2786,0.5313,0.1655,0.02,0.0045,1.0
0.0045,0.007,0.0121,0.1253,0.8511,10.0
0.0013,0.0027,0.0299,0.3477,0.6184,8.0
0.2961,0.3174,0.1965,0.1195,0.0704,8.0
0.0096,0.0592,0.2901,0.5556,0.0854,8.0
0.0494,0.1987,0.4368,0.2727,0.0424,10.0
0.0135,0.0355,0.0871,0.3885,0.4754,8.0
0.0042,0.0032,0.0139,0.118,0.8607,10.0
0.0124,0.0271,0.0724,0.3459,0.5421,9.0
0.0058,0.0098,0.0567,0.2421,0.6855,9.0
0.1034,0.181,0.1918,0.3431,0.1807,10.0
0.0076,0.014,0.0423,0.249,0.6871,9.0
0.0898,0.5041,0.3533,0.0486,0.0041,1.0
0.0878,0.3745,0.4653,0.0607,0.0118,1.0
0.0047,0.031,0.1983,0.6307,0.1353,9.0
0.0055,0.0041,0.0075,0.0348,0.9481,10.0
0.1079,0.6747,0.2089,0.0077,0.0008,6.0
0.0096,0.0592,0.2901,0.5556,0.0854,9.0
0.0303,0.0636,0.1388,0.4191,0.3483,9.0
0.0281,0.0814,0.1759,0.4383,0.2763,9.0
0.0607,0.1239,0.1935,0.4025,0.2195,8.0
0.0102,0.0404,0.1357,0.5136,0.3001,10.0
0.1917,0.4703,0.202,0.0939,0.0422,10.0
0.0055,0.0075,0.0394,0.2687,0.6789,8.0
0.0013,0.0019,0.0217,0.3841,0.591,10.0
0.2514,0.3609,0.2374,0.1162,0.0342,9.0
0.0009,0.0018,0.0081,0.1797,0.8095,9.0
0.0309,0.027,0.0492,0.2251,0.6678,9.0
0.0096,0.0592,0.2901,0.5556,0.0854,9.0
0.2398,0.0783,0.1091,0.1611,0.4116,7.0
0.0948,0.1796,0.1955,0.3517,0.1784,9.0
0.0033,0.0066,0.0206,0.2205,0.749,10.0
0.0609,0.1318,0.1815,0.3658,0.26,10.0
0.0206,0.1223,0.3719,0.4037,0.0814,9.0
0.0178,0.0633,0.2024,0.5481,0.1683,10.0
0.0567,0.1134,0.1115,0.3261,0.3924,9.0
0.0039,0.0129,0.064,0.4504,0.4688,9.0
0.147,0.4311,0.2246,0.1365,0.0608,10.0
0.0633,0.2054,0.4698,0.2046,0.057,8.0
0.0378,0.078,0.1424,0.4193,0.3226,9.0
0.0033,0.0689,0.8355,0.0905,0.0018,6.0
0.0122,0.0281,0.0688,0.7232,0.1676,10.0
0.0015,0.002,0.0078,0.1513,0.8374,10.0
0.0847,0.349,0.3584,0.1852,0.0227,6.0
0.0028,0.003,0.0073,0.046,0.941,9.0
0.0019,0.0022,0.0133,0.1696,0.813,10.0
0.0786,0.2894,0.2457,0.3613,0.025,8.0
0.0459,0.1042,0.2682,0.4257,0.156,9.0
